arredamos	ar|re|da$mos|
apossais	a|pos|sais$
carujara	ca|ru|ja$ra|
cosmopolizar-lhe-eis	cos|mo|po|li|zar|lhe|eis$
esvaziáreis	es|va|zi|á$reis|
detectar	de|tec|tar$
encasularei	en|ca|su|la|rei$
empurrão	em|pur|rão$
extenuar-vos-eis	ex|te|nu|ar|vos|eis$
repele	re|pe$le|
lamuriarem	la|mu|ri|a$rem|
atoladeiro	a|to|la|dei$ro|
descoloristes	des|co|lo|ris$tes|
desanuviados	de|sa|nu|vi|a$dos|
tranquilizeis	tran|qui|li|zeis$
adulterarei	a|dul|te|ra|rei$
radicalizem	ra|di|ca|li$zem|
matutaste	ma|tu|tas$te|
faiscando	fais|can$do|
suspirámos	sus|pi|rá$mos|
divisássemos	di|vi|sás$se|mos|
factorizámos	fac|to|ri|zá$mos|
arriscardes	ar|ris|car$des|
motorizas	mo|to|ri$zas|
entupi-vos	en|tu|pi$vos|
adoestadas	a|do|es|ta$das|
capim	ca|pim$
confluências	con|flu|ên$cias|
formuláreis	for|mu|lá$reis|
tamborilareis	tam|bo|ri|la|reis$
extraíras	ex|tra|í$ras|
ressalteariam	res|sal|te|a|ri|am$
austerizarão	aus|te|ri|za|rão$
caber-lhes-ia	ca|ber|lhes|i$a|
simpatizava	sim|pa|ti|za$va|
diteísmo	di|te|ís$mo|
corromperem	cor|rom|pe$rem|
floresceríamos	flo|res|ce|rí$a|mos|
desvairareis	des|vai|ra|reis$
biscasse	bis|cas$se|
enfartáreis	en|far|tá$reis|
recingir-me-ás	re|cin|gir|me|ás$
reiniciar	rei|ni|ci|ar$
cosêssemos	co|sês$se|mos|
resselarem	res|se|la$rem|
bisnagar-se	bis|na|gar$se|
delimitemos	de|li|mi|te$mos|
alimentemos	a|li|men|te$mos|
logrados	lo|gra$dos|
rendibilizarem	ren|di|bi|li|za$rem|
aconselhadores	a|con|se|lha|do$res|
apantufarem	a|pan|tu|fa$rem|
atintará	a|tin|ta|rá$
descerrarás	des|cer|ra|rás$
agrilhoadas	a|gri|lho|a$das|
entregá-los	en|tre|gá|los$
gritaste	gri|tas$te|
naturalizarias	na|tu|ra|li|za|ri$as|
transtornaras	trans|tor|na$ras|
plebiscito	ple|bis|ci$to|
estradou	es|tra|dou$
lascasse	las|cas$se|
entremeá-lo-íamos	en|tre|me|á|lo|í$a|mos|
coordenem	co|or|de$nem|
indultamos	in|dul|ta$mos|
incuto	in|cu$to|
tripulado	tri|pu|la$do|
colchoaríamos	col|cho|a|rí$a|mos|
maltês	mal|tês$
gostámos	gos|tá$mos|
faúlham-lhes	fa|ú$lham|lhes|
alienamentos	a|li|e|na|men$tos|
baforaste	ba|fo|ras$te|
tremar-me-ia	tre|mar|me|i$a|
mercadejámos	mer|ca|de|já$mos|
comportastes	com|por|tas$tes|
convolverem	con|vol|ve$rem|
queixaríamos	quei|xa|rí$a|mos|
espetarmos	es|pe|tar$mos|
esborrato	es|bor|ra$to|
degeneravam	de|ge|ne|ra|vam$
verbalizaríeis	ver|ba|li|za|rí$eis|
destronasses	des|tro|nas$ses|
desmultiplica	des|mul|ti|pli$ca|
fenderíamos	fen|de|rí$a|mos|
desapoquentará	de|sa|po|quen|ta|rá$
comunitarize	co|mu|ni|ta|ri$ze|
induzimento	in|du|zi|men$to|
depoimentos	de|poi|men$tos|
requeira	re|quei$ra|
desassoreares	de|sas|so|re|a$res|
sentimentalizá-las	sen|ti|men|ta|li|zá$las|
catarrais	ca|tar|rais$
orfanavam	or|fa|na|vam$
correcções	cor|rec|ções$
amontareis	a|mon|ta|reis$
descontextualizai	des|con|tex|tu|a|li|zai$
salientaríeis	sa|li|en|ta|rí$eis|
tolerantismos	to|le|ran|tis$mos|
atroçoavam	a|tro|ço|a|vam$
mnemonizar-se-á	mne|mo|ni|zar|se|á$
perdoar-me-íamos	per|do|ar|me|í$a|mos|
empacotado	em|pa|co|ta$do|
obstariam	obs|ta|ri|am$
prodigalizarão	pro|di|ga|li|za|rão$
teologizas	te|o|lo|gi$zas|
apeganhardes	a|pe|ga|nhar$des|
apanquei	a|pan|quei$
alertáramos	a|ler|tá$ra|mos|
rapar-nos-á	ra|par|nos|á$
cristalizeis	cris|ta|li|zeis$
fale	fa$le|
desmagnetizareis	des|mag|ne|ti|za|reis$
nomeiem	no|mei$em|
vinagrar	vi|na|grar$
premeram	pre|me$ram|
enaltecerás	e|nal|te|ce|rás$
galicizasse	ga|li|ci|zas$se|
homologaras	ho|mo|lo|ga$ras|
panásseis	pa|nás$seis|
queimadura	quei|ma|du$ra|
acontecíamos	a|con|te|cí$a|mos|
tache	ta$che|
esforçar-lhes-eis	es|for|çar|lhes|eis$
desajuizar	de|sa|ju|i|zar$
cingimos	cin|gi$mos|
nominação	no|mi|na|ção$
desadequadamente	de|sa|de|qua|da|men$te|
idealizaremos	i|de|a|li|za|re$mos|
desentalas	de|sen|ta$las|
substancializados	subs|tan|ci|a|li|za$dos|
consanguinidades	con|san|gui|ni|da$des|
bacanalizaste	ba|ca|na|li|zas$te|
reforjar-lha	re|for|jar|lha$
enobreces	e|no|bre$ces|
avermelhamos	a|ver|me|lha$mos|
profundarmos	pro|fun|dar$mos|
estagnarmos	es|tag|nar$mos|
republicanizaria	re|pu|bli|ca|ni|za|ri$a|
indagou	in|da|gou$
planificara	pla|ni|fi|ca$ra|
regatarei	re|ga|ta|rei$
rejurares	re|ju|ra$res|
depredas	de|pre$das|
remisturem	re|mis|tu$rem|
arranjaria	ar|ran|ja|ri$a|
desenclaustrai	de|sen|claus|trai$
separeis	se|pa|reis$
ejaculando	e|ja|cu|lan$do|
gravidares	gra|vi|da$res|
desencarregarmos	de|sen|car|re|gar$mos|
intimando	in|ti|man$do|
afronhasses	a|fro|nhas$ses|
esparregastes	es|par|re|gas$tes|
penhorável	pe|nho|rá$vel|
gangrenares	gan|gre|na$res|
algodões	al|go|dões$
consumível	con|su|mí$vel|
ourar-lho	ou|rar|lho$
elocução	e|lo|cu|ção$
afiemos	a|fi|e$mos|
clareje	cla|re$je|
partidora	par|ti|do$ra|
maldiçoáveis	mal|di|ço|á$veis|
acorrêsseis	a|cor|rês$seis|
lineares	li|ne|a$res|
casariam	ca|sa|ri|am$
indeferiríamos	in|de|fe|ri|rí$a|mos|
enviuvar	en|vi|u|var$
desmazelarão	des|ma|ze|la|rão$
banzávamos	ban|zá$va|mos|
palhaço	pa|lha$ço|
